,POPESTIMATE,Amount Overpaid,Total Unemployment Paid,Improper_Payment_Rate,Fraud Rate,Unemploy_Year,State,Code,FFTOT_CAPI,OTHCP_FF,TOTAL_CAPI,GFTOT_CAPI,OFTOT_CAPI,FFTOT_CAP,TOTAL REV,party
0,4903185,126239472.0,533312996.0,0.23956,0.13475,2021,Alabama,AL,12274.0,0.0,31638.0,10172.0,8966.0,277.0,10040.0,
1,731545,25542322.0,314026879.0,0.12459,0.01785,2021,Alaska,AK,4807.0,42.8,11930.2,5716.0,1407.2,1076.7,1595.5,
2,7278717,232951241.0,919184394.0,0.25343,0.14078,2021,Arizona,AZ,16895.0,0.0,40784.0,11221.0,12180.0,900.0,10970.0,
3,3017804,38598834.0,171995172.0,0.24168,0.10602,2021,Arkansas,AR,9498.464380000001,0.0,27775.39135,5482.48797,12738.776,205.63,6967.8,
4,39512223,1222937384.0,16583022143.0,0.08933,0.0308,2021,California,CA,148996.02,40.14200000000005,357086.003,146285.321,55086.253,1966.142,144375.0,
5,5758736,616325307.0,1810365726.0,0.34964,0.06695,2021,Colorado,CO,11310.0,35.0,35641.0,12187.0,11458.0,35.0,12868.099999999999,
6,3565287,326213311.0,1901024320.0,0.17285,0.04797,2021,Connecticut,CT,6593.239114000001,0.0,34031.19282,19188.634108,6358.319598,562.0,19193.5404229999,
7,973764,24228688.0,171023748.0,0.14168,0.02403,2021,Delaware,DE,2706.43,0.0,11887.288999999999,4513.609999999999,4402.249,299.0,4526.0,
8,21477737,788083529.0,1985206685.0,0.39932,0.06212,2021,Florida,FL,32188.0,0.0,85991.0,33893.0,18376.0,2536.0,31367.0,
9,10617423,313434391.0,2431894575.0,0.12894,0.05874,2021,Georgia,GA,18178.406041079998,0.0,60767.07355978,28179.079551670002,13313.672967030001,0.0,25478.91644582,
10,1415872,44772936.0,1110918978.0,0.04718,0.00868,2021,Hawaii,HI,2835.0,16.0,18134.0,8035.0,6036.0,194.0,8285.2,
11,1787065,10117919.0,133241282.0,0.08058,0.02967,2021,Idaho,ID,4984.0,108.0,11708.0,4470.0,2254.0,452.0,4031.0,
12,12671821,666597532.0,4286337829.0,0.17683,0.06952,2021,Illinois,IL,18007.7,0.0,77813.4,36064.7,22412.0,129.0,38060.0,
13,6732219,103079957.0,826911486.0,0.12466,0.04292,2021,Indiana,IN,14901.0,0.0,37655.9,16679.4,6075.5,0.0,15731.9,
14,3155070,85776949.0,404655160.0,0.21298,0.00786,2021,Iowa,IA,9772.0,7.0,26046.0,7832.0,8442.0,526.0,7931.0,
15,2913314,273599525.0,808724883.0,0.33831,0.30138,2021,Kansas,KS,4649.4,11.0,19412.4,7521.599999999999,6718.4,664.4399999999999,6900.399999999999,
16,4467673,37634649.0,637529883.0,0.06039,0.04136,2021,Kentucky,KY,17181.4,0.0,38434.4,11621.599999999999,9631.400000000001,0.0,11566.7,
17,4648794,217433173.0,897631017.0,0.24432,0.09688,2021,Louisiana,LA,14480.176574,1.0,31077.598602,9644.650202,6696.771825999998,614.0,9830.971534094266,
18,1344212,26491619.0,244563700.0,0.11241,0.02207,2021,Maine,ME,4183.0,12.0,10545.0,3825.0,2402.0,179.0,3969.2999999999997,
19,6045680,171321200.0,1017279424.0,0.16841,0.09844,2021,Maryland,MD,16038.0,41.0,48576.0,18961.0,12485.0,1162.0,18634.0,
20,6892503,1339786874.0,5159605683.0,0.27752,0.13705,2021,Massachusetts,MA,16726.0,0.0,63085.0,29508.0,14284.0,684.7,34521.4,
21,9986857,790428171.0,5064781462.0,0.15998,0.00908,2021,Michigan,MI,25949.0,9.0,62318.0,8954.0,27007.0,1615.0,10546.3,
22,5639632,214963451.0,2095951368.0,0.10415,0.01714,2021,Minnesota,MN,12193.846999999998,0.0,42989.58,23777.975999999995,6161.409000000011,0.0,22894.322,
23,2976149,54150151.0,299605646.0,0.1811,0.10251,2021,Mississippi,MS,8491.4,10.6,19919.2,5732.4,5018.7,430.70000000000005,5816.9,
24,6137428,61175545.0,579574496.0,0.10649,0.01648,2021,Missouri,MO,9726.0,27.0,27310.0,9151.0,8395.0,27.0,8933.0,
25,1068778,27993402.0,278857168.0,0.10663,0.0275,2021,Montana,MT,3346.8,0.0,8301.720000000001,2329.54,2625.38,0.0,2533.321,
26,1934408,39081280.0,173852224.0,0.23057,0.02163,2021,Nebraska,NE,3029.0,10.0,12901.0,4499.0,5373.0,452.0,4940.0,
